id,bank_name,iinno
2,Airtel Payment Bank,990320
3,Allahabad Bank,608112
4,Andhra Pradesh Grameena Vikash Bank,607198
5,Andhra Pragathi Grameena Bank,607121
6,AP Mahesh Coop Urban Bank Ltd,607051
7,Aryavart Bank erstwhile Gramin Bank of Aryavart,607024
8,Assam Gramin Vikash Bank,607064
9,AU Small Finance Bank,608087
10,Axis Bank,607153
11,Bangiya Gramin Vikash Bank,607063
12,Bank Of Baroda ertswhile Vijaya Bank erstwhile Dena Bank,606985
13,Bank of India,508505
14,Bank of Maharashtra,607387
15,Baroda Gujarat Gramin Bank,606995
16,Baroda Rajasthan Kshetriya Gramin Bank,607280
17,Baroda Uttar Pradesh Gramin Bank ,606993
18,Canara Bank erstwhile Syndicate Bank,607396
19,Catholic Syrian Bank,607082
20,Central Bank of India,607264
21,Chaitanya Godavari Gramin Bank,607080
22,Chhattisgarh Rajya Gramin Bank,607214
23,City Union Bank ,607324
24,Dharmapuri District Central Co op Bank Ltd,508658
25,Ellaquai Dehati Bank,607218
26,Equitas Small Finance Bank,508998
27,Erode District Central Co-operative Bank,508654
28,ESAF Small Finance Bank,652254
29,Federal Bank,607363
30,Fincare Small Finance Bank,817304
31,Fino Payments Bank,608001
32,HDFC Bank,607152
33,Himachal Pradesh Gramin Bank,607140
34,ICICI Bank,508534
35,IDBI Bank,607095
36,IDFC First Bank,608117
37,India Post Payment Bank,608314
38,Indian bank,607105
39,Indian Overseas Bank,607126
40,IndusInd Bank,607189
41,J& K Grameen Bank,607808
42,Jammu & Kashmir Bank ,607440
43,Jharkhand Rajya Gramin Bank erstwhile Vananchal Gramin Bank,607210
44,Karnataka Bank,607270
45,Karnataka Gramin Bank erstwhile Pragathi Krishna Gramin Bank,607400
46,Karnataka Vikas Grameena Bank ,607122
47,Karur Vysya Bank,508662
48,Kashi Gomati Samyut Gramin Bank,607365
49,Kerala Gramin Bank,607399
50,Kotak Mahindra Bank,990309
51,Lakshmi Vilas Bank,607058
52,Madhya Bihar Gramin Bank erstwhile Dakshin Bihar Gramin Bank,607136
53,Madhya Pradesh Gramin Bank erstwhile Narmada Jhabua Gramin Bank,607022
54,Madhyanchal Gramin Bank,607232
55,Maharashtra Gramin Bank ,607000
56,Manipur Rural Bank ,607062
57,Meghalaya Rural Bank,607206
58,Mizoram Rural Bank,607230
59,Odisha Gramya Bank ,607060
60,Paschim Banga Gramin Bank,607079
61,Paytm Payments Bank,608032
62,Prathma UP Gramin Bank erstwhile Sarva UP Gramin Bank ,607135
63,Puduvai Bharathiar Grama Bank,607054
64,Punjab & Sind Bank,607087
65,Punjab Gramin Bank,607138
66,Punjab National Bank erstwhile Oriental Bank of Commerce,607027
67,Purvanchal Gramin Bank,607212
68,Rajasthan Marudhara Gramin Bank,607509
69,Ratnakar Bank,607393
70,Saptagiri Grameena Bank,607053
71,Sarva Haryana Gramin Bank,607139
72,Saurashtra Gramin Bank,607200
73,SBM Bank (INDIA) Limited,607395
74,Shivalik Mercantile Cooperative Bank ,607119
75,South Indian Bank,607439
76,State Bank of India,607094
77,Suryoday Small Fianance Bank,608022
78,Tamil Nadu State Apex Co-operative Bank Ltd,607131
79,Tamilnad Mercantile Bank,607187
80,TamilNadu Grama Bank erstwhile Pallavan Grama Bank,607052
81,Telangana Grameena Bank,607195
82,The Coimbatore District Central Co-op Bank Limited,508646
83,THE CUDDALORE DISTRICT CENTRAL COOPERATIVE BANK,508647
84,The Kanyakumari District Central Cooperative Bank,508655
85,The Kumbakonam Central Co-operative Bank Ltd,508720
86,The Saraswat Co-operative Bank Ltd,652150
87,The Thoothukudi District Central Coop Bank Ltd,508678
88,The Tirunelveli District Central Co-op Bank Ltd,508677
89,THE VELLORE DISTRICT CENTRAL CO-OP BANK LTD.,508679
90,THE VILLUPURAM DISTRICT CENTRAL CO-OP BANK LTD,508737
91,Tripura Gramin Bank,607065
92,UCO Bank,607066
93,Ujjivan Small Finance Bank Limited,508991
94,Union Bank of India erstwhile Corporation Bank erstwhile Andhra Bank,607161
95,Utkal Gramin Bank,607234
96,Uttar Banga Kshetriya Gramin Bank ,607073
97,Uttar Bihar Grameen Bank ,607069
98,Uttarakhand Gramin Bank,607197
99,Vidarbha Konkan Gramin Bank,607020
100,YES Bank,607618
