provider_id,name,type,Fields Description,
55,Adani Electricity Mumbai Limited,ELECTRICITY,Consumer number,
151,Ajmer Vidyut Vitran Nigam Limited (AVVNL),ELECTRICITY,K Number,
113,Assam Power Distribution Company Ltd (NON-RAPDR),ELECTRICITY,Consumer ID,
141,Assam Power Distribution Company Ltd (RAPDR),ELECTRICITY,Consumer ID,
192,Bangalore Electricity Supply Co. Ltd (BESCOM),ELECTRICITY,Customer ID / Account ID,
59,B.E.S.T Mumbai,ELECTRICITY,Consumer Number,
117,Bharatpur Electricity Services Ltd. (BESL),ELECTRICITY,K Number,
118,Bikaner Electricity Supply Limited (BkESL),ELECTRICITY,K Number,
35,BSES Rajdhani Power Limited,ELECTRICITY,CA Number,
34,BSES Yamuna Power Limited,ELECTRICITY,CA Number,
83,CESC Limited,ELECTRICITY,Customer ID (Not Consumer No),
160,Chamundeshwari Electricity Supply Corp Ltd (CESCOM),ELECTRICITY,Account ID (RAPDRP) OR Consumer Number / Connection ID (Non-RAPDRP),
50,Chhattisgarh State Power Distribution Co. Ltd,ELECTRICITY,Business Partner Number,
120,Dakshin Gujarat Vij Company Limited (DGVCL),ELECTRICITY,Consumer Number,
148,Dakshin Haryana Bijli Vitran Nigam (DHBVN),ELECTRICITY,"Account Number,Mobile Number",
119,Daman and Diu Electricity,ELECTRICITY,Account Number,
216,"Department of Power, Government of Arunachal Pradesh",ELECTRICITY,Consumer Number,
216,"Department of Power, Government of Arunachal Pradesh - Prepaid",ELECTRICITY,Consumer Number,
161,"Department of Power, Nagaland",ELECTRICITY,Consumer ID,
121,DNH Power Distribution Company Limited,ELECTRICITY,Service Connection Number,
162,Electricity Department Chandigarh,ELECTRICITY,Account No without(/),
217,Gift Power Company Limited,ELECTRICITY,Consumer No,
163,Goa Electricity Department,ELECTRICITY,Contract Account No,
164,Government of Puducherry Electricity Department,ELECTRICITY,Consumer Number,
165,Gulbarga Electricity Supply Company Limited,ELECTRICITY,Consumer Number,
166,Himachal Pradesh State Electricity Board,ELECTRICITY,Consumer ID,
167,Hubli Electricity Supply Company Ltd (HESCOM),ELECTRICITY,Account ID (RAPDRP) OR Consumer Number / Connection ID (Non-RAPDRP),
86,Jaipur Vidyut Vitran Nigam (JVVNL),ELECTRICITY,K Number,
218,Jammu and Kashmir Power Development Department,ELECTRICITY,Consumer Code,
100,Jamshedpur Utilities,ELECTRICITY,Business Partner Number,
215,Jharkhand Bijli Vitran Nigam Limited (JBVNL),ELECTRICITY,Consumer Number,
88,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),ELECTRICITY,K Number,
265,Kanan Devan Hills Plantations Company Private Limited,ELECTRICITY,Consumer No,
168,Kanpur Electricity Supply Company,ELECTRICITY,ACCOUNTNO,
169,Kerala State Electricity Board Ltd. (KSEBL),ELECTRICITY,Consumer Number,
123,Kota Electricity Distribution Limited (KEDL),ELECTRICITY,K Numbe,
